(387s) loss_phi: -480.472351,  loss_theta: 357.960183,  ess_rws: 1.023312,  ess_mu: 1.283019,  ess_local: 1.031401,  density: -697.075178
(388s) loss_phi: -479.799715,  loss_theta: 354.712524,  ess_rws: 1.021457,  ess_mu: 1.279010,  ess_local: 1.031147,  density: -693.556928
(387s) loss_phi: -478.614378,  loss_theta: 351.162191,  ess_rws: 1.020140,  ess_mu: 1.281353,  ess_local: 1.030762,  density: -691.181474
(387s) loss_phi: -477.831041,  loss_theta: 348.358105,  ess_rws: 1.020385,  ess_mu: 1.279967,  ess_local: 1.030951,  density: -688.902403
(385s) loss_phi: -477.549068,  loss_theta: 346.870367,  ess_rws: 1.021297,  ess_mu: 1.285108,  ess_local: 1.031508,  density: -687.323553
(386s) loss_phi: -477.277684,  loss_theta: 347.945857,  ess_rws: 1.020741,  ess_mu: 1.285429,  ess_local: 1.031546,  density: -687.570878
(388s) loss_phi: -476.756295,  loss_theta: 343.204107,  ess_rws: 1.021340,  ess_mu: 1.285042,  ess_local: 1.027894,  density: -683.277176
(388s) loss_phi: -475.584686,  loss_theta: 343.647098,  ess_rws: 1.021026,  ess_mu: 1.288798,  ess_local: 1.032580,  density: -682.629772
(388s) loss_phi: -475.350424,  loss_theta: 338.942379,  ess_rws: 1.021405,  ess_mu: 1.293297,  ess_local: 1.032190,  density: -679.212837
(387s) loss_phi: -474.244582,  loss_theta: 337.374978,  ess_rws: 1.021550,  ess_mu: 1.299660,  ess_local: 1.032313,  density: -676.947168
(387s) loss_phi: -473.637670,  loss_theta: 336.635331,  ess_rws: 1.022201,  ess_mu: 1.296014,  ess_local: 1.033206,  density: -676.475757
(388s) loss_phi: -473.392715,  loss_theta: 335.242127,  ess_rws: 1.023230,  ess_mu: 1.292189,  ess_local: 1.033031,  density: -674.599382
(388s) loss_phi: -472.904875,  loss_theta: 332.895684,  ess_rws: 1.020729,  ess_mu: 1.294317,  ess_local: 1.029739,  density: -671.565346
(388s) loss_phi: -471.672772,  loss_theta: 330.512062,  ess_rws: 1.020454,  ess_mu: 1.297602,  ess_local: 1.032856,  density: -670.739822
(388s) loss_phi: -471.266597,  loss_theta: 326.521288,  ess_rws: 1.022403,  ess_mu: 1.299171,  ess_local: 1.033343,  density: -667.668385
(388s) loss_phi: -470.423802,  loss_theta: 326.222310,  ess_rws: 1.022453,  ess_mu: 1.291008,  ess_local: 1.032675,  density: -665.731350
(388s) loss_phi: -470.126235,  loss_theta: 324.811595,  ess_rws: 1.022257,  ess_mu: 1.297379,  ess_local: 1.031605,  density: -664.451363
(388s) loss_phi: -469.966635,  loss_theta: 325.534658,  ess_rws: 1.022225,  ess_mu: 1.293952,  ess_local: 1.033105,  density: -662.707228
(389s) loss_phi: -468.838755,  loss_theta: 321.557510,  ess_rws: 1.022210,  ess_mu: 1.298384,  ess_local: 1.033467,  density: -660.725919
(394s) loss_phi: -467.707196,  loss_theta: 319.505123,  ess_rws: 1.024275,  ess_mu: 1.302610,  ess_local: 1.032380,  density: -658.818019
(391s) loss_phi: -466.942620,  loss_theta: 315.688935,  ess_rws: 1.023172,  ess_mu: 1.309711,  ess_local: 1.033542,  density: -656.141782
(394s) loss_phi: -466.611770,  loss_theta: 314.755939,  ess_rws: 1.023588,  ess_mu: 1.304809,  ess_local: 1.033345,  density: -654.799246
