(8s) phi_loss: -2293.366,  theta_loss: 1361.974,  ess: 1.035
(8s) phi_loss: -2281.999,  theta_loss: 1354.369,  ess: 1.033
(8s) phi_loss: -2290.479,  theta_loss: 1368.687,  ess: 1.032
(8s) phi_loss: -2282.379,  theta_loss: 1359.218,  ess: 1.036
(8s) phi_loss: -2271.367,  theta_loss: 1346.603,  ess: 1.035
(8s) phi_loss: -2281.539,  theta_loss: 1353.864,  ess: 1.035
(8s) phi_loss: -2277.278,  theta_loss: 1349.463,  ess: 1.034
(8s) phi_loss: -2284.621,  theta_loss: 1357.131,  ess: 1.034
(8s) phi_loss: -2264.620,  theta_loss: 1341.751,  ess: 1.034
(8s) phi_loss: -2254.258,  theta_loss: 1332.952,  ess: 1.035
(8s) phi_loss: -2268.918,  theta_loss: 1346.199,  ess: 1.035
(8s) phi_loss: -2255.516,  theta_loss: 1334.007,  ess: 1.037
(8s) phi_loss: -2259.626,  theta_loss: 1337.874,  ess: 1.038
(8s) phi_loss: -2256.222,  theta_loss: 1331.043,  ess: 1.036
(8s) phi_loss: -2256.936,  theta_loss: 1329.309,  ess: 1.037
(8s) phi_loss: -2254.120,  theta_loss: 1328.258,  ess: 1.037
(8s) phi_loss: -2249.165,  theta_loss: 1321.983,  ess: 1.035
(8s) phi_loss: -2242.559,  theta_loss: 1315.161,  ess: 1.034
(8s) phi_loss: -2251.949,  theta_loss: 1322.673,  ess: 1.035
(8s) phi_loss: -2266.564,  theta_loss: 1336.649,  ess: 1.034
(8s) phi_loss: -2245.842,  theta_loss: 1316.228,  ess: 1.036
(8s) phi_loss: -2267.165,  theta_loss: 1338.115,  ess: 1.036
(9s) phi_loss: -2269.231,  theta_loss: 1339.360,  ess: 1.036
(9s) phi_loss: -2265.394,  theta_loss: 1334.562,  ess: 1.037
(8s) phi_loss: -2239.887,  theta_loss: 1313.224,  ess: 1.038
(8s) phi_loss: -2238.986,  theta_loss: 1312.548,  ess: 1.039
(8s) phi_loss: -2235.321,  theta_loss: 1308.290,  ess: 1.037
(8s) phi_loss: -2242.374,  theta_loss: 1313.985,  ess: 1.035
(8s) phi_loss: -2235.844,  theta_loss: 1308.341,  ess: 1.037
(8s) phi_loss: -2238.044,  theta_loss: 1309.713,  ess: 1.035
(8s) phi_loss: -2225.676,  theta_loss: 1297.817,  ess: 1.038
(8s) phi_loss: -2228.255,  theta_loss: 1301.054,  ess: 1.037
(8s) phi_loss: -2223.953,  theta_loss: 1291.587,  ess: 1.038
(8s) phi_loss: -2218.807,  theta_loss: 1284.127,  ess: 1.036
(8s) phi_loss: -2230.168,  theta_loss: 1293.283,  ess: 1.038
(8s) phi_loss: -2224.264,  theta_loss: 1285.836,  ess: 1.038
(8s) phi_loss: -2226.351,  theta_loss: 1289.292,  ess: 1.035
(8s) phi_loss: -2213.563,  theta_loss: 1277.222,  ess: 1.036
(8s) phi_loss: -2231.780,  theta_loss: 1293.497,  ess: 1.038
(8s) phi_loss: -2222.160,  theta_loss: 1284.999,  ess: 1.037
(8s) phi_loss: -2231.189,  theta_loss: 1295.930,  ess: 1.035
(8s) phi_loss: -2248.487,  theta_loss: 1315.440,  ess: 1.040
(8s) phi_loss: -2223.815,  theta_loss: 1293.745,  ess: 1.037
(8s) phi_loss: -2219.825,  theta_loss: 1286.706,  ess: 1.035
(9s) phi_loss: -2210.197,  theta_loss: 1274.682,  ess: 1.039
(8s) phi_loss: -2208.922,  theta_loss: 1273.032,  ess: 1.038
(8s) phi_loss: -2215.599,  theta_loss: 1281.030,  ess: 1.037
(8s) phi_loss: -2209.720,  theta_loss: 1269.851,  ess: 1.038
(8s) phi_loss: -2204.851,  theta_loss: 1265.989,  ess: 1.039
(8s) phi_loss: -2201.262,  theta_loss: 1263.244,  ess: 1.040
(8s) phi_loss: -2202.020,  theta_loss: 1260.433,  ess: 1.042
(8s) phi_loss: -2200.392,  theta_loss: 1258.470,  ess: 1.038
(8s) phi_loss: -2204.814,  theta_loss: 1257.771,  ess: 1.039
(8s) phi_loss: -2198.393,  theta_loss: 1252.617,  ess: 1.039
(9s) phi_loss: -2198.955,  theta_loss: 1256.203,  ess: 1.039
(9s) phi_loss: -2209.827,  theta_loss: 1267.484,  ess: 1.037
(9s) phi_loss: -2202.802,  theta_loss: 1261.843,  ess: 1.038
(9s) phi_loss: -2188.699,  theta_loss: 1245.887,  ess: 1.037
(8s) phi_loss: -2192.549,  theta_loss: 1249.796,  ess: 1.037
(8s) phi_loss: -2199.327,  theta_loss: 1255.626,  ess: 1.037
(9s) phi_loss: -2191.204,  theta_loss: 1245.491,  ess: 1.042
(8s) phi_loss: -2184.503,  theta_loss: 1240.466,  ess: 1.041
