(20s) phi_loss: -1973.353,  theta_loss: 943.957,  ess: 1.053
(21s) phi_loss: -1974.194,  theta_loss: 940.300,  ess: 1.056
(22s) phi_loss: -1971.548,  theta_loss: 940.118,  ess: 1.054
(22s) phi_loss: -1970.059,  theta_loss: 939.473,  ess: 1.056
(22s) phi_loss: -1970.165,  theta_loss: 938.369,  ess: 1.058
(22s) phi_loss: -1970.405,  theta_loss: 938.119,  ess: 1.052
(19s) phi_loss: -1972.592,  theta_loss: 934.832,  ess: 1.057
(23s) phi_loss: -1973.774,  theta_loss: 933.903,  ess: 1.055
(17s) phi_loss: -1971.179,  theta_loss: 938.333,  ess: 1.058
(17s) phi_loss: -1972.306,  theta_loss: 937.542,  ess: 1.056
(19s) phi_loss: -1971.636,  theta_loss: 937.797,  ess: 1.053
(23s) phi_loss: -1971.032,  theta_loss: 940.669,  ess: 1.057
(20s) phi_loss: -1969.223,  theta_loss: 936.982,  ess: 1.057
(23s) phi_loss: -1968.664,  theta_loss: 935.535,  ess: 1.054
(22s) phi_loss: -1967.449,  theta_loss: 936.025,  ess: 1.053
(18s) phi_loss: -1968.357,  theta_loss: 939.979,  ess: 1.058
(22s) phi_loss: -1968.833,  theta_loss: 938.666,  ess: 1.056
(23s) phi_loss: -1967.716,  theta_loss: 937.596,  ess: 1.055
(22s) phi_loss: -1969.524,  theta_loss: 937.570,  ess: 1.059
(17s) phi_loss: -1970.108,  theta_loss: 934.450,  ess: 1.053
(17s) phi_loss: -1966.618,  theta_loss: 933.022,  ess: 1.056
(17s) phi_loss: -1967.729,  theta_loss: 930.298,  ess: 1.055
(17s) phi_loss: -1967.016,  theta_loss: 929.169,  ess: 1.056
(18s) phi_loss: -1968.801,  theta_loss: 931.465,  ess: 1.061
(22s) phi_loss: -1966.168,  theta_loss: 930.094,  ess: 1.056
(19s) phi_loss: -1962.983,  theta_loss: 929.355,  ess: 1.057
(22s) phi_loss: -1962.416,  theta_loss: 930.902,  ess: 1.057
(23s) phi_loss: -1967.568,  theta_loss: 931.851,  ess: 1.056
(23s) phi_loss: -1966.819,  theta_loss: 934.341,  ess: 1.055
(23s) phi_loss: -1967.472,  theta_loss: 933.881,  ess: 1.057
(23s) phi_loss: -1966.602,  theta_loss: 933.266,  ess: 1.056
(19s) phi_loss: -1965.535,  theta_loss: 934.760,  ess: 1.056
(21s) phi_loss: -1963.732,  theta_loss: 930.486,  ess: 1.056
(22s) phi_loss: -1964.733,  theta_loss: 931.112,  ess: 1.057
(23s) phi_loss: -1963.570,  theta_loss: 928.491,  ess: 1.058
(23s) phi_loss: -1962.527,  theta_loss: 926.072,  ess: 1.058
(23s) phi_loss: -1960.451,  theta_loss: 927.431,  ess: 1.056
(23s) phi_loss: -1962.171,  theta_loss: 927.070,  ess: 1.056
(18s) phi_loss: -1962.420,  theta_loss: 922.287,  ess: 1.057
(17s) phi_loss: -1962.054,  theta_loss: 924.976,  ess: 1.056
(19s) phi_loss: -1961.251,  theta_loss: 926.813,  ess: 1.061
(23s) phi_loss: -1959.551,  theta_loss: 927.556,  ess: 1.055
(23s) phi_loss: -1962.248,  theta_loss: 929.322,  ess: 1.057
(23s) phi_loss: -1961.264,  theta_loss: 925.840,  ess: 1.057
(23s) phi_loss: -1957.486,  theta_loss: 921.479,  ess: 1.058
(20s) phi_loss: -1957.734,  theta_loss: 922.711,  ess: 1.058
(20s) phi_loss: -1958.742,  theta_loss: 922.457,  ess: 1.056
(22s) phi_loss: -1960.251,  theta_loss: 922.017,  ess: 1.057
