EUBOs, ELBOs, ESSs
-171.757354736, -196.905477905, 1.7040763855
-171.817710876, -196.423321533, 1.69812284708
-172.011988831, -196.377279663, 1.71593842506
-171.744195557, -196.509864807, 1.69046763182
-171.840516663, -196.610319519, 1.68289705515
-171.849572754, -196.445787048, 1.70092836618
-171.919534302, -196.453207397, 1.71861284971
-171.863296509, -196.45418396, 1.71394439936
-171.707273865, -196.513276672, 1.70488964319
-171.731634521, -196.410469055, 1.69777069092
-171.771815491, -195.938348389, 1.73351287842
-171.936001587, -196.439865112, 1.72994223833
-171.767344666, -196.223513794, 1.72021946907
-171.938235474, -196.397383118, 1.73292669058
-171.626211548, -196.127961731, 1.71043604612
-171.915924072, -196.508802795, 1.69421099424
-171.818392944, -196.285238647, 1.71201525927
-171.941854858, -196.597789001, 1.71689494848
-172.073384094, -196.483428955, 1.72330085039
-171.944024658, -196.573370361, 1.6926815033
-171.681938171, -196.542803955, 1.70050748587
-171.865202332, -196.833757019, 1.70047725439
-171.902723694, -196.976858521, 1.70351237059
-171.679356384, -196.282250977, 1.72228600979
-171.824745178, -196.357937622, 1.71620166302
-172.036360168, -196.223937988, 1.7198854208
-171.684307861, -196.041571045, 1.72002578974
-171.636769104, -196.037908936, 1.72577573061
-171.911286926, -196.787156677, 1.70277767181
-171.698680115, -196.174905396, 1.71639415026
-171.634469604, -196.257122803, 1.70196963549
-171.586726379, -196.179466248, 1.71471617222
-171.791191101, -195.991986084, 1.71716411114
-171.70098877, -196.083662415, 1.72882522345
-171.97335968, -196.210441589, 1.70068708658
-171.844587708, -196.362675476, 1.71455277205
-171.784368896, -196.032110596, 1.71282786131
-171.553193665, -195.876480103, 1.73112750053
-171.591162109, -196.040032959, 1.72038155794
-171.884350586, -196.365731812, 1.70761746168
-171.641798401, -196.160513306, 1.71728103161
-171.289778137, -196.179733276, 1.70873037577
-171.537506104, -195.93605957, 1.72468099594
-171.638278198, -196.078147888, 1.72114555836
-172.066864014, -196.149839783, 1.70632201433
-171.928378296, -196.647514343, 1.68812918663
-171.697421265, -196.366888428, 1.69941971302
-171.667552185, -196.353633118, 1.70382933617
-171.510371399, -196.402389526, 1.70355033875
-171.604972839, -195.926603699, 1.72635002136
-171.45629425, -196.147389221, 1.70815441608
-171.402479553, -196.115924072, 1.71615833044
-171.696427917, -196.087750244, 1.71543593407
-171.642694092, -196.290907288, 1.71288976669
-171.811877441, -196.274079895, 1.69278014898
-171.62323761, -196.14370575, 1.72652747631
-171.741101074, -195.871058655, 1.71792500019
-171.50801239, -195.89924469, 1.73633898497
-171.753215027, -195.757791138, 1.72627667189
-171.63447876, -196.10405426, 1.71859512329
-171.676759338, -195.95929718, 1.73404191732
-171.569139099, -195.916563416, 1.72762510777
-171.655938721, -195.884594727, 1.70964474678
-171.714985657, -196.205973816, 1.69803622961
-171.692041016, -195.754705811, 1.71706893444
-171.64352417, -196.171316528, 1.73185276985
-171.640623474, -196.167164612, 1.74868625402
-171.696315002, -196.034817505, 1.72277054787
-171.482467651, -195.997303772, 1.71966801882
-171.638919067, -195.815655518, 1.73463929892
-171.634385681, -196.009524536, 1.71338721514
-171.573965454, -195.727297974, 1.70830544233
-171.575726318, -196.079486084, 1.71369992495
-171.413737488, -195.524812317, 1.72838293314
-171.56728363, -195.902960205, 1.71606702805
-171.652508545, -196.186651611, 1.71563038826
-171.560443115, -195.644122314, 1.72950896025
-171.532479858, -195.781169128, 1.71836121082
-171.735107422, -195.858049011, 1.72943072319
