EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-190.491803894, -205.821891785, 1.47651155591, 31.2062660408, 14.1671958256, 1.37830510378, 0.835426886678
-190.195188446, -205.880087738, 1.490346874, 31.3761385727, 14.0370432186, 1.30716457188, 0.864519924521
-190.403925934, -205.766524658, 1.48049570322, 31.6641513252, 14.3423155403, 1.24625270367, 0.811619061232
-190.389097748, -205.925207367, 1.46596282959, 31.2575617409, 14.1300911903, 1.35015125334, 0.895058802962
-190.113174133, -205.672294159, 1.47252854109, 31.3976365471, 13.7996910381, 1.26358358741, 0.839781394005
-190.003344574, -206.050872498, 1.4843610239, 31.6913249969, 14.0583273029, 1.29906285524, 0.842757279873
-190.107736359, -205.422724762, 1.4881625998, 30.4453030014, 14.1122619057, 1.15433911145, 0.798942935467
-190.127728729, -205.473425293, 1.46780264854, 30.7987368011, 14.0794262409, 1.30664090216, 0.808797169924
-190.35352005, -205.766208496, 1.47242723584, 30.792304306, 14.1887225819, 1.32947889447, 0.860726702809
-190.382870178, -205.529448242, 1.49062075615, 30.8766784477, 14.139524889, 1.21367866158, 0.82536060214
-190.140363617, -205.168557587, 1.47870866537, 30.3589255905, 14.4208203411, 1.19522826731, 0.805376259089
-190.189429626, -205.438345032, 1.50665037751, 30.9378791618, 13.7914844131, 1.29168530345, 0.764334750175
-190.040642242, -205.428408813, 1.47346122026, 30.8780007362, 13.8267578793, 1.28427512348, 0.782757723331
-190.02963623, -205.632146606, 1.48151839495, 30.3109064293, 13.8026289272, 1.31421389163, 0.788756777644
-189.992529449, -205.102854614, 1.49838029385, 30.8110755539, 13.9859481716, 1.25552217841, 0.813304002285
-189.84841156, -205.307145996, 1.47592068911, 30.9322580338, 13.7317901325, 1.29289287686, 0.81117351532
-190.110108795, -204.64443512, 1.50322909117, 29.7300702286, 14.235379734, 1.28137661815, 0.804185893536
-190.013276978, -205.871382599, 1.47564029455, 32.1584383965, 14.2842454243, 1.40714192808, 0.81217865169
-189.832094116, -204.977851563, 1.50179734468, 30.8514651871, 14.4682890034, 1.16003493607, 0.763903069496
-189.96989563, -206.008932495, 1.49636595964, 31.3597195816, 13.8778342819, 1.30628394544, 0.768667705655
-189.850681, -204.992150421, 1.50007722139, 30.6933355522, 14.0755094051, 1.13034799755, 0.783309670687
-189.655778351, -204.744934387, 1.4841483891, 30.464835434, 14.071453104, 1.33411662161, 0.776306890845
-190.10131485, -205.216819763, 1.48165077448, 30.7747312355, 13.9753803825, 1.22524461567, 0.805376370549
-189.660830231, -204.989876099, 1.48276078224, 30.2190042877, 13.8072485161, 1.15868784547, 0.778900966346
-189.764920044, -205.464139557, 1.47985885382, 31.8813129616, 13.5175147533, 1.23717514336, 0.756413058639
-189.983970337, -204.800565948, 1.49941261411, 30.6970816612, 14.0334921169, 1.15908704579, 0.75465803206
-189.885626526, -204.61863266, 1.48814125776, 31.07975811, 14.0986266613, 1.12215345144, 0.755634074211
-189.769284973, -205.002090912, 1.48511894226, 30.7755054474, 13.9305510426, 1.21039669394, 0.782417186499
-189.875829163, -205.004309692, 1.49706536055, 30.1754820633, 13.9108610535, 1.17130911708, 0.789710822701
-189.988152313, -205.832179413, 1.46751517177, 31.5717817307, 14.2361013031, 1.16373372257, 0.735196815729
-189.745493927, -205.118429871, 1.49494217038, 30.8987938881, 13.7263353252, 1.1905961132, 0.759702320397
-189.780837708, -205.194492645, 1.47824228168, 31.450072937, 13.9726015663, 1.19895641327, 0.734499945045
-189.825621033, -205.193382874, 1.47495261312, 31.8962994385, 13.8053645706, 1.25896423638, 0.750061681271
-189.795942535, -205.30882843, 1.47397673488, 31.6476819229, 13.5527003384, 1.2074374336, 0.776946433783
-189.62567337, -204.516110382, 1.50803121567, 30.3052607536, 13.6927452087, 1.26433458686, 0.738569866121
-189.914168854, -204.813959351, 1.496609689, 30.391753788, 14.069133997, 1.20148422539, 0.766010392308
-189.626408386, -204.784515533, 1.50919562578, 30.6291666794, 13.7266529751, 1.18226786733, 0.758201057315
-189.505002594, -204.597910919, 1.5045445466, 31.2872566795, 13.9858677387, 1.11869214296, 0.738286411166
-189.609308777, -204.845019379, 1.49492076635, 31.651348877, 13.8655201054, 1.22285088956, 0.75093965441
-189.576472168, -204.818857117, 1.49228774071, 30.228993454, 13.7599442005, 1.14983668506, 0.728976159394
-189.697879944, -204.956206055, 1.48761580825, 31.4920350456, 13.7705966759, 1.20281342745, 0.762140040398
-189.760843658, -205.138231354, 1.48135886192, 31.3965416336, 13.6045812416, 1.14303114295, 0.731680141687
-189.504842224, -204.409290161, 1.48067795157, 30.4518013573, 13.4155243778, 1.18196924388, 0.725060520768
-189.462240295, -204.81456192, 1.4763087976, 31.0961128044, 13.4118080807, 1.28699866891, 0.773256581128
-189.715344543, -204.900853729, 1.48680936456, 31.0090256882, 13.8026849651, 1.27350952208, 0.746106570959
-189.482151031, -205.043896484, 1.49280667663, 31.0007094383, 13.5110373688, 1.32464488328, 0.726248646379
-189.285013275, -204.4642453, 1.49887441754, 31.6577790642, 13.4932497025, 1.09082575977, 0.751880639195
-189.584169617, -204.285911255, 1.48923631787, 31.3018552971, 13.9167023182, 1.12521513283, 0.723906859457
