(249s) loss: 28.014,  ess: 9.233,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(250s) loss: 27.994,  ess: 9.228,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(250s) loss: 27.956,  ess: 9.235,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(253s) loss: 28.032,  ess: 9.235,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(252s) loss: 28.061,  ess: 9.235,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(247s) loss: 27.937,  ess: 9.237,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(248s) loss: 28.095,  ess: 9.237,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(250s) loss: 27.986,  ess: 9.233,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(255s) loss: 28.005,  ess: 9.234,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(251s) loss: 27.870,  ess: 9.234,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(249s) loss: 28.028,  ess: 9.230,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(253s) loss: 28.008,  ess: 9.226,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(249s) loss: 28.048,  ess: 9.230,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(248s) loss: 27.970,  ess: 9.232,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(252s) loss: 27.956,  ess: 9.234,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(250s) loss: 28.003,  ess: 9.230,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(250s) loss: 28.000,  ess: 9.239,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(250s) loss: 28.031,  ess: 9.237,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(249s) loss: 27.958,  ess: 9.237,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(249s) loss: 28.013,  ess: 9.240,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(249s) loss: 28.168,  ess: 9.234,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(252s) loss: 27.942,  ess: 9.229,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(253s) loss: 28.115,  ess: 9.232,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(252s) loss: 27.804,  ess: 9.238,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(253s) loss: 28.050,  ess: 9.239,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(255s) loss: 27.896,  ess: 9.239,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(274s) loss: 27.975,  ess: 9.237,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
