symKL_DB_eta: 587.471,  symKL_DB_z: 6.635,  gap: 585.956,  loss: -4219.926,  ess: 5.500
symKL_DB_eta: 584.582,  symKL_DB_z: 6.805,  gap: 582.615,  loss: -4214.603,  ess: 5.500
symKL_DB_eta: 591.557,  symKL_DB_z: 6.621,  gap: 590.103,  loss: -4209.725,  ess: 5.500
symKL_DB_eta: 591.905,  symKL_DB_z: 6.637,  gap: 590.254,  loss: -4204.419,  ess: 5.501
symKL_DB_eta: 585.880,  symKL_DB_z: 6.629,  gap: 583.887,  loss: -4209.971,  ess: 5.500
symKL_DB_eta: 579.867,  symKL_DB_z: 6.575,  gap: 578.272,  loss: -4205.664,  ess: 5.500
symKL_DB_eta: 584.020,  symKL_DB_z: 6.534,  gap: 582.202,  loss: -4201.790,  ess: 5.502
symKL_DB_eta: 586.753,  symKL_DB_z: 6.470,  gap: 585.190,  loss: -4197.517,  ess: 5.502
symKL_DB_eta: 583.990,  symKL_DB_z: 6.607,  gap: 582.393,  loss: -4200.173,  ess: 5.502
symKL_DB_eta: 582.674,  symKL_DB_z: 6.457,  gap: 580.685,  loss: -4201.361,  ess: 5.502
symKL_DB_eta: 593.073,  symKL_DB_z: 6.486,  gap: 591.314,  loss: -4201.876,  ess: 5.501
symKL_DB_eta: 588.147,  symKL_DB_z: 6.937,  gap: 586.260,  loss: -4196.131,  ess: 5.502
symKL_DB_eta: 579.205,  symKL_DB_z: 6.260,  gap: 577.324,  loss: -4196.295,  ess: 5.502
symKL_DB_eta: 588.479,  symKL_DB_z: 6.286,  gap: 586.740,  loss: -4195.994,  ess: 5.503
symKL_DB_eta: 590.368,  symKL_DB_z: 6.077,  gap: 588.421,  loss: -4195.889,  ess: 5.504
symKL_DB_eta: 592.548,  symKL_DB_z: 6.243,  gap: 590.855,  loss: -4194.106,  ess: 5.504
symKL_DB_eta: 580.876,  symKL_DB_z: 6.103,  gap: 578.793,  loss: -4181.926,  ess: 5.504
symKL_DB_eta: 580.761,  symKL_DB_z: 5.999,  gap: 578.990,  loss: -4178.435,  ess: 5.504
symKL_DB_eta: 576.288,  symKL_DB_z: 5.968,  gap: 574.131,  loss: -4173.275,  ess: 5.505
symKL_DB_eta: 565.167,  symKL_DB_z: 5.803,  gap: 563.084,  loss: -4176.611,  ess: 5.506
symKL_DB_eta: 584.379,  symKL_DB_z: 6.301,  gap: 582.750,  loss: -4177.962,  ess: 5.505
symKL_DB_eta: 574.194,  symKL_DB_z: 5.630,  gap: 572.393,  loss: -4174.274,  ess: 5.506
symKL_DB_eta: 580.536,  symKL_DB_z: 5.854,  gap: 578.612,  loss: -4168.380,  ess: 5.505
symKL_DB_eta: 568.772,  symKL_DB_z: 5.556,  gap: 566.617,  loss: -4168.863,  ess: 5.506
symKL_DB_eta: 565.650,  symKL_DB_z: 5.680,  gap: 563.788,  loss: -4173.115,  ess: 5.507
symKL_DB_eta: 572.969,  symKL_DB_z: 5.653,  gap: 571.059,  loss: -4167.758,  ess: 5.507
symKL_DB_eta: 579.565,  symKL_DB_z: 5.671,  gap: 577.689,  loss: -4168.695,  ess: 5.507
symKL_DB_eta: 583.452,  symKL_DB_z: 5.511,  gap: 581.545,  loss: -4163.438,  ess: 5.507
symKL_DB_eta: 570.223,  symKL_DB_z: 5.821,  gap: 568.122,  loss: -4171.018,  ess: 5.507
symKL_DB_eta: 567.423,  symKL_DB_z: 5.485,  gap: 565.569,  loss: -4162.896,  ess: 5.508
symKL_DB_eta: 573.819,  symKL_DB_z: 5.603,  gap: 571.909,  loss: -4157.391,  ess: 5.508
symKL_DB_eta: 574.098,  symKL_DB_z: 5.582,  gap: 572.156,  loss: -4153.886,  ess: 5.509
symKL_DB_eta: 573.626,  symKL_DB_z: 5.557,  gap: 571.580,  loss: -4155.844,  ess: 5.508
symKL_DB_eta: 564.166,  symKL_DB_z: 5.659,  gap: 562.234,  loss: -4152.876,  ess: 5.509
symKL_DB_eta: 565.558,  symKL_DB_z: 5.304,  gap: 563.838,  loss: -4144.066,  ess: 5.509
symKL_DB_eta: 571.124,  symKL_DB_z: 5.250,  gap: 569.312,  loss: -4140.002,  ess: 5.511
