EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-210.973	-310.888	1.785	109.721	16.410
-211.075	-310.156	1.769	109.458	16.216
-211.202	-310.106	1.761	108.259	16.278
-210.420	-308.150	1.771	107.293	16.226
-211.152	-308.540	1.779	107.489	16.428
-210.578	-306.340	1.778	104.232	16.240
-211.500	-307.052	1.761	104.821	16.971
-211.363	-310.120	1.767	108.749	16.489
-210.620	-309.169	1.779	108.746	16.021
-210.734	-307.191	1.773	106.764	16.170
-210.455	-308.604	1.780	107.331	16.060
-210.553	-307.697	1.778	106.676	16.352
-210.845	-308.196	1.779	106.328	16.318
-210.833	-308.377	1.784	107.693	16.285
-210.410	-306.542	1.790	105.537	16.261
-210.807	-310.072	1.761	108.254	16.830
-210.666	-308.720	1.782	106.014	16.199
-210.533	-306.653	1.782	106.109	16.504
-210.870	-306.490	1.786	105.428	16.348
-211.084	-306.920	1.786	106.304	16.106
-210.726	-308.436	1.779	106.194	15.795
-211.042	-308.214	1.796	107.640	16.331
-210.452	-308.905	1.789	107.555	15.881
-210.636	-309.919	1.790	110.143	15.682
-210.502	-311.234	1.791	110.252	15.738
-209.924	-310.414	1.776	109.049	15.808
-210.628	-307.742	1.783	108.064	15.937
-210.458	-307.390	1.790	106.708	15.931
-211.216	-307.037	1.768	106.419	16.309
-210.215	-306.086	1.782	104.961	15.991
-210.810	-309.527	1.776	106.804	16.185
-210.456	-305.886	1.795	104.653	15.736
-210.168	-307.077	1.780	106.427	15.679
-210.714	-308.927	1.780	106.617	15.835
-210.873	-307.968	1.774	105.988	16.219
-210.344	-305.116	1.778	104.518	15.940
-211.154	-306.822	1.798	105.782	16.245
-210.207	-306.387	1.790	105.220	15.635
-210.075	-306.263	1.791	105.090	15.601
-210.530	-302.880	1.806	103.822	16.084
-210.331	-308.329	1.789	106.380	15.878
-210.470	-305.620	1.799	104.830	15.920
-210.398	-306.783	1.795	105.046	16.033
-210.246	-305.421	1.791	103.905	15.792
-210.826	-305.988	1.789	104.915	16.151
-210.383	-306.735	1.794	104.312	15.896
-210.712	-304.861	1.807	103.249	15.997
-210.131	-305.242	1.801	104.635	15.697
-209.925	-307.440	1.790	105.705	15.556
-211.029	-306.394	1.793	104.903	15.931
-210.247	-305.120	1.809	104.874	15.853
-210.817	-303.928	1.796	104.237	16.455
-210.055	-303.675	1.801	102.509	15.619
-210.354	-305.102	1.803	103.920	16.468
-209.441	-305.778	1.796	104.818	15.308
-210.227	-306.929	1.802	106.363	15.457
-210.163	-305.095	1.803	104.297	15.686
-209.875	-305.076	1.812	104.048	15.481
-210.390	-307.079	1.796	104.751	15.733
-210.491	-304.510	1.810	103.226	15.793
-209.743	-305.655	1.797	103.479	15.244
-210.283	-304.820	1.793	104.702	16.111
-210.548	-305.219	1.798	104.713	15.878
-210.336	-306.534	1.794	104.754	15.811
-209.436	-305.265	1.807	104.429	15.512
-209.991	-303.927	1.819	103.509	15.645
-210.121	-305.490	1.812	103.445	15.641
-210.125	-306.086	1.806	104.583	15.363
-209.695	-303.559	1.820	102.918	15.202
-209.707	-305.120	1.800	104.008	15.133
-210.347	-306.806	1.815	104.645	15.800
-209.636	-304.404	1.817	104.663	15.324
-210.175	-305.538	1.808	104.594	15.728
-209.718	-306.564	1.811	104.469	15.285
-209.065	-304.507	1.788	103.950	15.102
-210.143	-306.042	1.799	104.841	15.014
-210.366	-307.023	1.800	104.515	16.012
-210.032	-302.443	1.826	103.416	15.619
-209.957	-304.517	1.805	103.775	15.545
-209.709	-302.588	1.805	102.016	15.827
-209.797	-304.322	1.807	102.435	15.458
-209.680	-303.417	1.807	102.396	15.396
-208.854	-302.042	1.805	102.229	15.223
-209.945	-303.696	1.806	101.999	15.400
-210.251	-303.394	1.806	102.818	15.932
