EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-199.031	-219.846	3.805	20.480	5.037	20.480	5.037
-199.137	-219.685	3.833	20.365	5.031	20.365	5.031
-199.092	-219.281	3.840	20.274	5.022	20.274	5.022
-199.166	-219.117	3.838	19.696	5.029	19.696	5.029
-199.077	-218.682	3.850	19.708	4.976	19.708	4.976
-199.040	-218.764	3.853	19.530	4.970	19.530	4.970
-198.974	-218.530	3.863	19.385	4.962	19.385	4.962
-199.047	-218.632	3.858	19.452	4.958	19.452	4.958
-198.898	-218.409	3.864	19.569	4.920	19.569	4.920
-198.961	-218.779	3.881	19.474	4.890	19.474	4.890
-199.281	-218.680	3.883	19.478	4.933	19.478	4.933
-199.066	-218.653	3.893	19.514	4.874	19.514	4.874
-199.046	-218.790	3.899	19.401	4.883	19.401	4.883
-198.946	-217.821	3.912	18.783	4.869	18.783	4.869
-198.928	-217.641	3.911	18.910	4.862	18.910	4.862
-199.084	-217.871	3.951	18.657	4.787	18.657	4.787
-199.066	-217.732	3.962	18.633	4.827	18.633	4.827
-199.025	-217.568	3.931	18.425	4.837	18.425	4.837
-198.949	-217.500	3.972	18.459	4.801	18.459	4.801
-198.905	-217.600	3.962	18.491	4.794	18.491	4.794
-198.968	-217.496	3.984	18.314	4.771	18.314	4.771
-199.020	-217.184	3.999	17.939	4.754	17.939	4.754
-198.905	-217.186	3.980	18.054	4.746	18.054	4.746
-198.885	-216.995	4.012	17.661	4.697	17.661	4.697
-199.016	-216.973	4.001	17.523	4.702	17.523	4.702
-198.844	-216.754	4.000	17.371	4.678	17.371	4.678
-198.996	-216.656	4.017	17.416	4.687	17.416	4.687
-198.949	-216.486	4.008	17.380	4.627	17.380	4.627
-198.882	-216.803	4.009	17.509	4.631	17.509	4.631
-198.902	-216.270	4.016	17.175	4.654	17.175	4.654
-198.953	-216.100	4.054	17.004	4.638	17.004	4.638
-198.893	-216.047	4.061	17.031	4.578	17.031	4.578
-198.879	-216.017	4.051	16.920	4.615	16.920	4.615
-198.863	-215.978	4.033	16.874	4.584	16.874	4.584
-198.919	-216.323	4.054	16.998	4.527	16.998	4.527
-198.939	-216.204	4.060	16.864	4.637	16.864	4.637
-198.905	-215.546	4.069	16.611	4.537	16.611	4.537
-198.810	-215.729	4.066	16.638	4.526	16.638	4.526
-198.842	-215.669	4.076	16.587	4.528	16.587	4.528
-198.856	-215.787	4.065	16.455	4.560	16.455	4.560
-198.798	-215.586	4.103	16.383	4.504	16.383	4.504
-198.743	-215.199	4.080	16.418	4.519	16.418	4.519
-198.857	-215.640	4.108	16.408	4.533	16.408	4.533
-198.827	-215.793	4.089	16.403	4.484	16.403	4.484
-198.883	-215.582	4.117	16.198	4.463	16.198	4.463
-198.812	-215.322	4.110	16.297	4.454	16.297	4.454
-198.996	-215.139	4.118	15.995	4.467	15.995	4.467
-198.931	-215.199	4.134	15.991	4.486	15.991	4.486
-198.972	-215.620	4.123	16.155	4.452	16.155	4.452
-199.039	-215.511	4.144	16.041	4.469	16.041	4.469
-198.852	-214.423	4.191	15.552	4.394	15.552	4.394
-198.738	-214.864	4.142	15.810	4.394	15.810	4.394
-198.930	-214.512	4.188	15.472	4.401	15.472	4.401
-198.808	-214.660	4.184	15.418	4.352	15.418	4.352
-198.823	-214.275	4.152	15.379	4.387	15.379	4.387
-198.832	-214.480	4.187	15.350	4.350	15.350	4.350
-198.827	-214.340	4.169	15.437	4.335	15.437	4.335
-198.866	-214.640	4.194	15.381	4.326	15.381	4.326
-198.810	-214.400	4.189	15.157	4.312	15.157	4.312
-198.783	-214.451	4.200	15.214	4.288	15.214	4.288
-198.788	-214.083	4.210	14.981	4.280	14.981	4.280
-198.850	-214.051	4.211	15.025	4.274	15.025	4.274
-198.783	-213.771	4.248	14.668	4.191	14.668	4.191
-198.808	-213.803	4.203	14.663	4.281	14.663	4.281
-198.710	-213.542	4.237	14.385	4.248	14.385	4.248
-198.785	-213.731	4.218	14.500	4.267	14.500	4.267
-198.755	-213.293	4.273	14.285	4.169	14.285	4.169
-198.751	-213.507	4.255	14.378	4.136	14.378	4.136
-198.722	-213.465	4.263	14.347	4.166	14.347	4.166
-198.759	-213.694	4.278	14.421	4.113	14.421	4.113
-198.712	-213.580	4.270	14.467	4.157	14.467	4.157
-198.675	-213.706	4.279	14.445	4.118	14.445	4.118
-198.717	-213.363	4.290	14.330	4.131	14.330	4.131
-198.631	-213.071	4.297	14.146	4.083	14.146	4.083
