EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-198.894	-213.764	4.548	15.157	4.418	15.157	4.418
-198.562	-213.352	4.552	15.091	4.346	15.091	4.346
-198.804	-213.921	4.544	15.007	4.368	15.007	4.368
-198.755	-213.948	4.552	15.250	4.368	15.250	4.368
-198.749	-213.612	4.563	15.203	4.309	15.203	4.309
-198.655	-213.952	4.553	15.347	4.369	15.347	4.369
-198.611	-214.076	4.541	15.366	4.362	15.366	4.362
-198.575	-213.718	4.565	14.993	4.348	14.993	4.348
-198.718	-213.565	4.566	15.065	4.338	15.065	4.338
-198.714	-213.285	4.583	14.944	4.319	14.944	4.319
-198.629	-213.478	4.584	15.000	4.255	15.000	4.255
-198.738	-213.470	4.585	14.881	4.294	14.881	4.294
-198.716	-213.391	4.601	14.850	4.316	14.850	4.316
-198.650	-213.392	4.588	14.942	4.283	14.942	4.283
-198.864	-213.443	4.618	14.918	4.315	14.918	4.315
-198.666	-213.156	4.563	14.841	4.373	14.841	4.373
-198.698	-213.690	4.590	15.030	4.270	15.030	4.270
-198.765	-213.674	4.620	14.922	4.271	14.922	4.271
-198.752	-213.441	4.612	14.895	4.319	14.895	4.319
-198.794	-213.447	4.645	14.936	4.235	14.936	4.235
-198.704	-213.441	4.621	14.926	4.300	14.926	4.300
-198.849	-213.150	4.649	14.860	4.268	14.860	4.268
-198.790	-213.384	4.646	14.768	4.251	14.768	4.251
-198.724	-213.221	4.613	14.671	4.249	14.671	4.249
-198.750	-213.448	4.652	14.923	4.213	14.923	4.213
-198.803	-213.268	4.630	14.904	4.297	14.904	4.297
-198.740	-212.742	4.643	14.538	4.226	14.538	4.226
-198.696	-213.545	4.645	14.815	4.289	14.815	4.289
-198.592	-212.584	4.679	14.369	4.194	14.369	4.194
-198.644	-213.031	4.671	14.659	4.270	14.659	4.270
-198.770	-213.169	4.684	14.602	4.237	14.602	4.237
-198.881	-213.422	4.649	15.080	4.320	15.080	4.320
-198.702	-212.876	4.686	14.656	4.173	14.656	4.173
-198.713	-213.324	4.668	14.814	4.146	14.814	4.146
-198.873	-213.068	4.686	14.594	4.142	14.594	4.142
-198.743	-213.060	4.686	14.393	4.172	14.393	4.172
-198.547	-212.820	4.688	14.475	4.181	14.475	4.181
-198.735	-212.966	4.711	14.443	4.152	14.443	4.152
-198.673	-212.867	4.717	14.472	4.139	14.472	4.139
-198.907	-213.013	4.704	14.766	4.196	14.766	4.196
-198.728	-213.471	4.721	14.668	4.121	14.668	4.121
-198.649	-213.045	4.725	14.656	4.140	14.656	4.140
-198.795	-212.882	4.692	14.323	4.162	14.323	4.162
-198.785	-212.664	4.714	14.036	4.152	14.036	4.152
-199.199	-213.122	4.724	14.741	4.145	14.741	4.145
-198.669	-212.854	4.714	14.269	4.161	14.269	4.161
