(20s) Epoch=19, Group=5, loss_phi: -86.5963,  loss_theta: 1498.8925,  ess: 1.0652,  density: -1933.8361
(20s) Epoch=19, Group=6, loss_phi: -92.4587,  loss_theta: 1425.0966,  ess: 1.0706,  density: -1821.6495
(20s) Epoch=19, Group=7, loss_phi: -91.9022,  loss_theta: 1588.1040,  ess: 1.0763,  density: -2010.7666
(20s) Epoch=19, Group=8, loss_phi: -87.2255,  loss_theta: 1686.7033,  ess: 1.0625,  density: -2167.0115
(20s) Epoch=19, Group=9, loss_phi: -88.2324,  loss_theta: 1684.7979,  ess: 1.0575,  density: -2138.9887
(20s) Epoch=20, Group=0, loss_phi: -86.8126,  loss_theta: 1646.7242,  ess: 1.0586,  density: -2104.5896
(20s) Epoch=20, Group=1, loss_phi: -85.5051,  loss_theta: 1653.5633,  ess: 1.0526,  density: -2153.9614
(20s) Epoch=20, Group=2, loss_phi: -86.6256,  loss_theta: 1384.0746,  ess: 1.0828,  density: -1812.8711
(20s) Epoch=20, Group=3, loss_phi: -90.4928,  loss_theta: 1547.0456,  ess: 1.0682,  density: -1985.3602
(20s) Epoch=20, Group=4, loss_phi: -90.7466,  loss_theta: 1549.4829,  ess: 1.0712,  density: -1980.7460
(20s) Epoch=20, Group=5, loss_phi: -88.0913,  loss_theta: 1546.5767,  ess: 1.0716,  density: -1981.4890
(20s) Epoch=20, Group=6, loss_phi: -90.1556,  loss_theta: 1561.9932,  ess: 1.0706,  density: -1991.8826
(20s) Epoch=20, Group=7, loss_phi: -89.0162,  loss_theta: 1486.8954,  ess: 1.0627,  density: -1924.8897
(20s) Epoch=20, Group=8, loss_phi: -93.5617,  loss_theta: 1459.3487,  ess: 1.0857,  density: -1868.2838
(20s) Epoch=20, Group=9, loss_phi: -90.5391,  loss_theta: 1437.2788,  ess: 1.0737,  density: -1870.3938
(20s) Epoch=21, Group=0, loss_phi: -90.2557,  loss_theta: 1651.9821,  ess: 1.0658,  density: -2117.2841
