EUBO	ELBO	ESS
438.351	434.343	5.684
438.329	434.463	5.757
438.420	434.227	5.611
438.460	434.147	5.527
438.291	434.697	5.900
438.365	434.425	5.684
438.346	434.312	5.694
438.313	434.602	5.791
438.362	434.409	5.722
438.373	434.249	5.615
438.283	434.666	5.925
438.281	434.662	5.818
438.409	434.037	5.489
438.345	434.465	5.775
438.390	434.235	5.650
438.456	433.945	5.391
438.425	434.061	5.472
438.388	434.502	5.754
438.283	434.745	5.970
438.276	434.658	5.895
438.352	434.164	5.592
438.390	434.339	5.666
438.315	434.590	5.830
438.348	434.508	5.751
438.313	434.381	5.748
438.347	434.463	5.711
438.335	434.529	5.749
438.416	434.223	5.533
438.297	434.618	5.839
438.345	434.515	5.744
438.304	434.759	5.940
438.294	434.678	5.848
438.322	434.550	5.764
438.375	434.361	5.643
438.309	434.696	5.881
438.281	434.718	5.912
438.289	434.668	5.894
438.286	434.532	5.793
438.400	434.155	5.510
438.343	434.509	5.777
438.332	434.629	5.838
438.353	434.265	5.704
438.314	434.227	5.662
438.378	434.062	5.538
438.377	434.504	5.739
438.349	434.529	5.746
438.466	434.231	5.534
438.376	434.453	5.718
438.390	434.055	5.484
438.556	433.523	5.230
438.274	434.835	5.972
438.371	434.457	5.717
438.336	434.479	5.713
438.392	434.427	5.682
438.413	434.350	5.630
438.290	434.752	5.913
438.322	434.584	5.800
438.416	434.160	5.516
438.311	434.487	5.754
438.294	434.654	5.864
438.415	434.282	5.606
438.354	434.501	5.707
438.291	434.749	5.877
438.312	434.384	5.665
438.385	434.259	5.625
438.385	434.457	5.708
438.331	434.498	5.748
438.329	434.592	5.825
438.330	434.666	5.846
438.347	434.372	5.649
438.393	434.423	5.666
438.457	433.834	5.362
438.394	434.395	5.684
438.349	434.435	5.719
438.351	434.472	5.724
438.221	435.033	6.125
438.384	434.366	5.654
438.325	434.455	5.707
438.294	434.672	5.859
438.435	434.071	5.490
438.324	434.541	5.718
438.374	434.530	5.716
438.398	434.181	5.572
438.461	434.084	5.507
438.427	434.173	5.526
438.354	434.493	5.736
438.260	434.910	6.013
438.457	434.045	5.397
438.382	434.526	5.792
438.325	433.486	5.389
438.365	434.477	5.725
438.305	434.663	5.851
438.284	434.680	5.856
438.336	434.482	5.744
438.340	434.718	5.849
438.373	434.199	5.563
438.351	434.495	5.760
438.301	434.641	5.832
438.315	434.644	5.798
438.328	434.340	5.645
438.249	434.944	6.038
438.403	434.485	5.675
438.315	434.542	5.713
438.327	434.665	5.825
438.407	434.203	5.600
438.439	434.060	5.538
438.355	434.686	5.828
438.356	434.063	5.455
438.247	434.785	5.928
438.393	434.326	5.601
438.360	434.557	5.710
438.341	434.726	5.830
438.290	434.686	5.886
438.356	434.483	5.706
438.456	434.182	5.466
438.320	434.287	5.634
438.349	434.361	5.660
438.418	434.203	5.581
438.366	434.188	5.610
438.365	434.627	5.768
438.384	434.526	5.718
438.391	434.307	5.606
438.333	434.590	5.807
438.343	434.508	5.750
438.287	434.742	5.854
438.335	434.615	5.792
438.344	434.409	5.711
438.573	433.165	5.020
438.320	434.593	5.796
438.349	434.565	5.761
438.323	434.609	5.794
438.338	434.354	5.636
438.347	434.301	5.627
438.346	434.213	5.609
438.233	435.054	6.097
438.301	434.651	5.817
438.329	434.443	5.726
438.346	434.439	5.686
438.364	434.609	5.780
438.314	434.689	5.810
438.400	434.211	5.469
438.355	434.266	5.619
438.460	434.059	5.374
438.362	434.444	5.687
438.330	434.515	5.735
438.368	434.699	5.815
438.307	434.541	5.806
438.351	434.572	5.759
438.366	434.418	5.646
438.409	433.973	5.431
438.298	434.546	5.820
438.387	434.199	5.523
438.356	434.606	5.744
438.290	434.699	5.861
438.418	434.061	5.557
438.259	434.691	5.889
438.335	434.498	5.745
438.356	434.304	5.632
438.305	434.658	5.827
438.429	434.116	5.511
438.393	434.361	5.654
438.353	434.515	5.744
438.449	434.101	5.478
438.449	433.904	5.397
438.396	434.364	5.609
438.429	434.195	5.510
438.359	434.660	5.818
438.243	434.713	5.898
438.364	434.589	5.739
438.364	434.371	5.618
438.290	434.778	5.901
438.297	434.606	5.806
438.324	434.149	5.546
438.340	434.519	5.724
438.342	434.545	5.765
438.277	434.832	5.935
438.465	434.048	5.442
438.317	434.640	5.771
438.435	434.275	5.533
438.399	434.369	5.633
438.396	434.376	5.628
438.371	434.558	5.721
438.325	434.616	5.777
438.359	434.626	5.803
438.293	434.712	5.882
438.258	434.820	5.928
438.388	434.448	5.654
438.319	434.784	5.863
438.279	434.874	5.940
438.363	434.496	5.688
438.392	434.467	5.687
438.323	434.469	5.745
438.309	434.819	5.898
438.286	434.716	5.871
438.290	434.844	5.917
438.372	434.495	5.690
438.300	434.501	5.759
438.324	434.603	5.765
438.331	434.687	5.813
438.414	434.362	5.645
438.268	434.649	5.787
438.465	434.168	5.461
438.332	434.727	5.881
438.414	434.250	5.513
438.298	434.801	5.913
438.360	434.192	5.581
438.356	434.592	5.745
438.284	434.902	5.939
438.409	434.248	5.565
438.356	434.537	5.739
438.407	434.353	5.596
438.386	434.508	5.710
438.333	434.635	5.783
438.423	434.401	5.633
438.405	434.151	5.559
438.313	433.994	5.551
438.319	434.614	5.816
438.402	434.340	5.591
438.418	434.344	5.573
