symKL_DB_eta: 69.848,  symKL_DB_z: 955.812,  gap_eta: 40.654,  gap_z: 959.625,  loss: -2946.785,  ess: 6.216
symKL_DB_eta: 54.030,  symKL_DB_z: 837.249,  gap_eta: 41.118,  gap_z: 840.778,  loss: -3026.710,  ess: 6.247
symKL_DB_eta: 53.117,  symKL_DB_z: 722.661,  gap_eta: 40.321,  gap_z: 726.607,  loss: -2983.116,  ess: 6.259
symKL_DB_eta: 58.836,  symKL_DB_z: 625.394,  gap_eta: 40.581,  gap_z: 628.651,  loss: -3039.169,  ess: 6.296
symKL_DB_eta: 53.198,  symKL_DB_z: 542.538,  gap_eta: 40.617,  gap_z: 545.926,  loss: -3186.736,  ess: 6.296
symKL_DB_eta: 52.663,  symKL_DB_z: 462.076,  gap_eta: 39.964,  gap_z: 465.868,  loss: -3009.701,  ess: 6.334
symKL_DB_eta: 76.458,  symKL_DB_z: 409.679,  gap_eta: 39.905,  gap_z: 413.207,  loss: -2937.587,  ess: 6.354
symKL_DB_eta: 52.865,  symKL_DB_z: 368.553,  gap_eta: 39.749,  gap_z: 370.697,  loss: -2902.696,  ess: 6.361
symKL_DB_eta: 68.383,  symKL_DB_z: 332.352,  gap_eta: 39.533,  gap_z: 335.031,  loss: -3079.330,  ess: 6.375
symKL_DB_eta: 78.463,  symKL_DB_z: 297.791,  gap_eta: 39.021,  gap_z: 301.279,  loss: -2953.800,  ess: 6.390
symKL_DB_eta: 61.523,  symKL_DB_z: 271.282,  gap_eta: 39.375,  gap_z: 273.978,  loss: -2858.479,  ess: 6.392
symKL_DB_eta: 50.898,  symKL_DB_z: 245.996,  gap_eta: 38.339,  gap_z: 249.907,  loss: -2964.534,  ess: 6.413
symKL_DB_eta: 58.284,  symKL_DB_z: 234.241,  gap_eta: 38.684,  gap_z: 235.853,  loss: -2813.687,  ess: 6.436
symKL_DB_eta: 66.170,  symKL_DB_z: 202.404,  gap_eta: 37.812,  gap_z: 205.739,  loss: -2733.753,  ess: 6.448
symKL_DB_eta: 51.180,  symKL_DB_z: 193.835,  gap_eta: 38.107,  gap_z: 197.299,  loss: -2784.045,  ess: 6.459
symKL_DB_eta: 49.803,  symKL_DB_z: 180.531,  gap_eta: 37.582,  gap_z: 184.100,  loss: -2691.329,  ess: 6.457
symKL_DB_eta: 49.891,  symKL_DB_z: 166.827,  gap_eta: 37.344,  gap_z: 170.200,  loss: -2538.032,  ess: 6.469
